id,text,source,created_on,segment,product_area
119,Onboarding feels overwhelming for new users without prior experience.,customer,20.11.2025,free,onboarding
120,Dashboard customization options feel too limited for enterprise teams.,customer,25.12.2025,enterprise,dashboard
121,Permission settings are confusing when sharing content with external collaborators.,customer,20.11.2025,paid,permissions
122,Search indexing seems delayed after importing a large number of pages.,customer,28.10.2025,paid,search
123,Mobile navigation makes it hard to jump between related pages quickly.,customer,28.12.2025,free,mobile_ui
124,Collaboration activity logs don’t clearly show who changed what.,customer,23.11.2025,paid,collaboration
125,Workspace sync can take a long time after logging in.,customer,19.11.2025,enterprise,workspace
126,Version recovery is not obvious when content is accidentally deleted.,customer,07.11.2025,paid,versioning
127,"Analytics would be more useful if they showed trends over time, not just totals.",customer,31.10.2025,paid,analytics
128,Editor reliability issues appear when embedding multiple databases in one page.,customer,25.11.2025,paid,editor_reliability
129,Onboarding does not highlight best practices for structuring complex workspaces.,customer,11.11.2025,free,onboarding
130,Dashboard views become hard to manage as more filters are added.,customer,06.12.2025,enterprise,dashboard
131,Permissions should be easier to review at the workspace level.,customer,28.12.2025,enterprise,permissions
132,Search results often require too much manual filtering to find relevant content.,customer,19.11.2025,paid,search
133,Mobile UI feels cramped when working with tables and formulas.,customer,01.12.2025,free,mobile_ui
134,Collaboration notifications are too noisy and hard to interpret.,customer,02.11.2025,paid,collaboration
135,Workspace performance slows down during peak collaboration hours.,customer,18.11.2025,enterprise,workspace
136,Version history lacks clear comparison between revisions.,customer,06.11.2025,paid,versioning
137,Analytics should differentiate between viewers and editors.,customer,07.12.2025,paid,analytics
138,Editor crashes occasionally when pasting large amounts of content.,customer,05.11.2025,paid,editor_reliability
139,Onboarding assumes users already understand database concepts.,customer,14.12.2025,free,onboarding
140,Dashboards feel visually overwhelming for executives reviewing data.,customer,24.11.2025,enterprise,dashboard
141,Permission inheritance rules are unclear in nested pages.,customer,14.12.2025,paid,permissions
142,Search performance drops noticeably in very large workspaces.,customer,27.12.2025,enterprise,search
143,Mobile UI does not support all editor features available on desktop.,customer,05.11.2025,free,mobile_ui
144,Collaboration features don’t clearly indicate when someone is actively editing.,customer,03.11.2025,paid,collaboration
145,Workspace load times increase as more integrations are added.,customer,15.12.2025,enterprise,workspace
146,Version history navigation feels unintuitive when reviewing past changes.,customer,29.10.2025,paid,versioning
147,Analytics dashboards lack actionable insights for team leads.,customer,10.11.2025,paid,analytics
148,Editor reliability issues occur more frequently on older pages.,customer,08.12.2025,paid,editor_reliability
149,Onboarding tutorials feel too generic for different user roles.,customer,22.11.2025,free,onboarding
150,Dashboard layouts do not scale well for very large teams.,customer,28.12.2025,enterprise,dashboard
